city,hour,total_events,total_revenue,avg_duration
NYC,2025-05-24 14:00:00,4,0.0,60.0
NYC,2025-05-24 15:00:00,4,0.0,60.0
NYC,2025-05-24 16:00:00,1,0.0,60.0
NYC,2025-05-24 17:00:00,1,0.0,60.0
NYC,2025-05-24 18:00:00,6,0.0,60.0
NYC,2025-05-24 19:00:00,4,0.0,60.0
NYC,2025-05-24 20:00:00,4,0.0,60.0
NYC,2025-05-24 21:00:00,3,0.0,60.0
NYC,2025-05-24 22:00:00,5,0.0,60.0
NYC,2025-05-24 23:00:00,3,0.0,60.0
NYC,2025-05-25 00:00:00,1,0.0,60.0
NYC,2025-05-25 01:00:00,3,0.0,60.0
NYC,2025-05-25 02:00:00,3,0.0,60.0
NYC,2025-05-25 03:00:00,1,0.0,60.0
NYC,2025-05-25 04:00:00,1,0.0,60.0
NYC,2025-05-25 05:00:00,1,0.0,60.0
NYC,2025-05-25 06:00:00,3,0.0,60.0
NYC,2025-05-25 07:00:00,4,0.0,60.0
NYC,2025-05-25 08:00:00,6,0.0,60.0
NYC,2025-05-25 09:00:00,2,0.0,60.0
NYC,2025-05-25 10:00:00,4,0.0,60.0
NYC,2025-05-25 11:00:00,2,0.0,60.0
NYC,2025-05-25 12:00:00,5,0.0,60.0
NYC,2025-05-25 13:00:00,2,0.0,60.0
NYC,2025-05-25 14:00:00,1,0.0,60.0
NYC,2025-05-25 15:00:00,1,0.0,60.0
NYC,2025-05-25 16:00:00,3,0.0,60.0
NYC,2025-05-25 17:00:00,3,0.0,60.0
NYC,2025-05-25 18:00:00,1,0.0,60.0
NYC,2025-05-25 19:00:00,9,0.0,60.0
NYC,2025-05-25 20:00:00,6,0.0,60.0
NYC,2025-05-25 21:00:00,3,0.0,60.0
NYC,2025-05-25 22:00:00,3,0.0,60.0
NYC,2025-05-25 23:00:00,3,0.0,60.0
NYC,2025-05-26 01:00:00,3,0.0,60.0
NYC,2025-05-26 02:00:00,2,0.0,60.0
NYC,2025-05-26 03:00:00,1,0.0,60.0
NYC,2025-05-26 05:00:00,2,0.0,60.0
NYC,2025-05-26 09:00:00,1,0.0,60.0
NYC,2025-05-26 11:00:00,1,0.0,60.0
NYC,2025-05-26 12:00:00,1,0.0,60.0
NYC,2025-05-26 15:00:00,1,0.0,60.0
NYC,2025-05-26 16:00:00,1,0.0,60.0
NYC,2025-05-26 21:00:00,2,0.0,60.0
NYC,2025-05-26 22:00:00,1,0.0,60.0
NYC,2025-05-26 23:00:00,1,0.0,60.0
NYC,2025-05-27 00:00:00,1,0.0,60.0
NYC,2025-05-27 01:00:00,4,0.0,60.0
NYC,2025-05-27 02:00:00,2,0.0,60.0
NYC,2025-05-27 03:00:00,2,0.0,60.0
NYC,2025-05-27 04:00:00,1,0.0,60.0
NYC,2025-05-27 05:00:00,1,0.0,60.0
NYC,2025-05-27 07:00:00,1,0.0,60.0
NYC,2025-05-27 08:00:00,2,0.0,60.0
